Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",110.475000,-119.300000,180.000000,top
"C3","100n","C_0603_1608Metric",148.455000,-109.270000,180.000000,top
"C4","100n","C_0603_1608Metric",148.455000,-114.770000,180.000000,top
"C5","100n","C_0603_1608Metric",148.255000,-120.970000,180.000000,top
"C6","100n","C_0603_1608Metric",148.455000,-125.870000,180.000000,top
"C_AVDD_1","0.1u","C_0603_1608Metric",120.935000,-120.930000,180.000000,top
"C_AVDD_2","10u","C_0805_2012Metric",120.700000,-123.430000,180.000000,top
"C_DVDD_1","100n","C_0603_1608Metric",131.800000,-110.200000,90.000000,top
"C_FILT1","0.33u","C_0603_1608Metric",124.610000,-125.265000,-90.000000,top
"C_FILT2","0.33u","C_0603_1608Metric",127.210000,-125.265000,-90.000000,top
"C_FILT3","0.33u","C_0603_1608Metric",129.710000,-125.265000,-90.000000,top
"C_FILT4","0.33u","C_0603_1608Metric",131.800000,-125.375000,-90.000000,top
"D1","BZX84C5V6","SOT-23",110.437500,-127.050000,180.000000,top
"FB1","330Ω","L_0603_1608Metric",110.487500,-122.300000,0.000000,top
"R1","1k","R_0603_1608Metric",138.460000,-153.045000,90.000000,top
"R2","1k","R_0603_1608Metric",138.500000,-146.625000,90.000000,top
"R3","1k","R_0603_1608Metric",138.500000,-140.370000,90.000000,top
"R4","1k","R_0603_1608Metric",138.500000,-134.225000,90.000000,top
"R5","10k","R_0603_1608Metric",136.310000,-109.100000,90.000000,top
"R6","10k","R_0603_1608Metric",128.680000,-108.975000,90.000000,top
"R7","10k","R_0603_1608Metric",126.140000,-109.025000,90.000000,top
"R8","12k","R_0603_1608Metric",149.975000,-153.800000,0.000000,top
"R9","12k","R_0603_1608Metric",149.785000,-147.475000,0.000000,top
"R10","12k","R_0603_1608Metric",149.955000,-141.210000,0.000000,top
"R11","12k","R_0603_1608Metric",149.795000,-135.020000,0.000000,top
"R12","10k","R_0603_1608Metric",145.455000,-111.370000,0.000000,top
"R13","10k","R_0603_1608Metric",145.355000,-117.270000,0.000000,top
"R14","10k","R_0603_1608Metric",145.355000,-123.370000,0.000000,top
"R15","10k","R_0603_1608Metric",145.355000,-128.170000,0.000000,top
"R16","5K1","R_0603_1608Metric",114.825000,-123.090000,0.000000,top
"R17","5K1","R_0603_1608Metric",114.825000,-125.600000,0.000000,top
"U1","ADS1256IDBR","SSOP-28_5.3x10.2mm_P0.65mm",128.285000,-117.340000,90.000000,top
